[1008/172835:ERROR:process_info.cc(608)] range at 0xfffde000, size 0x230 fully unreadable
[1008/172835:ERROR:process_info.cc(608)] range at 0xfffdd000, size 0xf84 fully unreadable
[1008/172835:ERROR:process_info.cc(608)] range at 0xfffda000, size 0xf84 fully unreadable
[1008/172835:ERROR:process_info.cc(608)] range at 0xfffd7000, size 0xf84 fully unreadable
[1008/172835:ERROR:process_info.cc(608)] range at 0xfffaf000, size 0xf84 fully unreadable
[1008/172835:ERROR:process_info.cc(608)] range at 0xfffa6000, size 0xf84 fully unreadable
[1008/172835:ERROR:process_info.cc(608)] range at 0xfffa3000, size 0xf84 fully unreadable
[1008/172835:ERROR:process_info.cc(608)] range at 0xfffa0000, size 0xf84 fully unreadable
[1008/172836:ERROR:scoped_process_suspend.cc(38)] NtResumeProcess: An attempt was made to access an exiting process.  (0xc000010a)
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffde000, size 0x230 fully unreadable
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffdd000, size 0xf84 fully unreadable
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffda000, size 0xf84 fully unreadable
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffd7000, size 0xf84 fully unreadable
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffaf000, size 0xf84 fully unreadable
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffac000, size 0xf84 fully unreadable
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffa9000, size 0xf84 fully unreadable
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffa6000, size 0xf84 fully unreadable
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffa3000, size 0xf84 fully unreadable
[1008/172852:ERROR:process_info.cc(608)] range at 0xfffa0000, size 0xf84 fully unreadable
[1008/181058:ERROR:file_io.cc(30)] read: expected 4, observed 0
